lid_language	wikicode	language_name
ace_Arab		Acehnese
ace_Latn	ace	Acehnese
acm_Arab	acm	Mesopotamian Arabic
acq_Arab	acq	Ta’izzi-Adeni Arabic
aeb_Arab	aeb	Tunisian Arabic
afr_Latn	af	Afrikaans
ajp_Arab	ajp	South Levantine Arabic
als_Latn	sq	Tosk Albanian
amh_Ethi	am	Amharic
apc_Arab		North Levantine Arabic
arb_Arab	ar	Modern Standard Arabic
ars_Arab		Najdi Arabic
ary_Arab	ary	Moroccan Arabic
arz_Arab	arz	Egyptian Arabic
asm_Beng	as	Assamese
ast_Latn	ast	Asturian
awa_Deva	awa	Awadhi
ayr_Latn	ay	Central Aymara
azb_Arab	azb	South Azerbaijani
azj_Latn	az	North Azerbaijani
bak_Cyrl	ba	Bashkir
bam_Latn	bm	Bambara
ban_Latn	ban	Balinese
bel_Cyrl	be	Belarusian
bem_Latn	bem	Bemba
ben_Beng	bn	Bengali
bho_Deva	bh	Bhojpuri
bjn_Arab		Banjar
bjn_Latn	bjn	Banjar
bod_Tibt	bo	Standard Tibetan
bos_Latn	bs	Bosnian
bug_Latn	bug	Buginese
bul_Cyrl	bg	Bulgarian
cat_Latn	ca	Catalan
ceb_Latn	ceb	Cebuano
ces_Latn	cs	Czech
cjk_Latn	cjk	Chokwe
ckb_Arab	ckb	Central Kurdish
crh_Latn	crh	Crimean Tatar
cym_Latn	cy	Welsh
dan_Latn	da	Danish
deu_Latn	de	German
dik_Latn	din	Southwestern Dinka
dyu_Latn	dyu	Dyula
dzo_Tibt	dz	Dzongkha
ell_Grek	el	Greek
eng_Latn	en	English
epo_Latn	eo	Esperanto
est_Latn	et	Estonian
eus_Latn	eu	Basque
ewe_Latn	ee	Ewe
fao_Latn	fo	Faroese
fij_Latn	fj	Fijian
fin_Latn	fi	Finnish
fon_Latn	fon	Fon
fra_Latn	fr	French
fur_Latn	fur	Friulian
fuv_Latn	ff	Nigerian Fulfulde
gaz_Latn	om	West Central Oromo
gla_Latn	gd	Scottish Gaelic
gle_Latn	ga	Irish
glg_Latn	gl	Galician
grn_Latn	gn	Guarani
guj_Gujr	gu	Gujarati
hat_Latn	ht	Haitian
hau_Latn	ha	Hausa
heb_Hebr	he	Hebrew
hin_Deva	hi	Hindi
hne_Deva	hne	Chhattisgarhi
hrv_Latn	hr	Croatian
hun_Latn	hu	Hungarian
hye_Armn	hy	Armenian
ibo_Latn	ibo	Igbo
ilo_Latn	ilo	Ilocano
ind_Latn	id	Indonesian
isl_Latn	is	Icelandic
ita_Latn	it	Italian
jav_Latn	jv	Javanese
jpn_Jpan	ja	Japanese
kab_Latn	kab	Kabyle
kac_Latn	kac	Jingpho
kam_Latn	kam	Kamba
kan_Knda	kn	Kannada
kas_Arab	ks	Kashmiri
kas_Deva		Kashmiri
kat_Geor	ka	Georgian
kaz_Cyrl	kk	Kazakh
kbp_Latn	kbp	Kabiye
kea_Latn	kea	Kabuverdianu
khk_Cyrl	mn	Halh
khm_Khmr	kh	Khmer
kik_Latn	ki	Kikuyu
kin_Latn	rw	Kinyarwanda
kir_Cyrl	ky	Kyrgyz
kmb_Latn	kmb	Kimbundu
kmr_Latn	ku	Northern
knc_Arab		Central
knc_Latn		Central
kon_Latn	kg	Kikongo
kor_Hang	ko	Korean
lao_Laoo	lo	Lao
lij_Latn	lij	Ligurian
lim_Latn	li	Limburgish
lin_Latn	ln	Lingala
lit_Latn	lt	Lithuanian
lmo_Latn	lmo	Lombard
ltg_Latn	ltg	Latgalian
ltz_Latn	lb	Luxembourgish
lua_Latn	lua	Luba-Kasai
lug_Latn	lg	Ganda
luo_Latn	luo	Luo
lus_Latn	lu	Mizo
lvs_Latn	lvs	Standard
mag_Deva	mag	Magahi
mai_Deva	mai	Maithili
mal_Mlym	ml	Malayalam
mar_Deva	mr	Marathi
min_Latn	min	Minangkabau
mkd_Cyrl	mk	Macedonian
mlt_Latn	mt	Maltese
mni_Beng	mni	Meitei
mos_Latn	mos	Mossi
mri_Latn	mi	Maori
mya_Mymr	my	Burmese
nld_Latn	nl	Dutch
nno_Latn	nn	Norwegian
nob_Latn	no	Norwegian
npi_Deva	ne	Nepali
nso_Latn	nso	Northern
nus_Latn	nus	Nuer
nya_Latn	ny	Nyanja
oci_Latn	oc	Occitan
ory_Orya	or	Odia
pag_Latn	pag	Pangasinan
pan_Guru	pa	Eastern
pap_Latn	pap	Papiamento
pbt_Arab	ps	Southern
pes_Arab	fa	Western
plt_Latn	mg	Plateau
pol_Latn	pl	Polish
por_Latn	pt	Portuguese
prs_Arab		Dari
quy_Latn	qu	Ayacucho
ron_Latn	ro	Romanian
run_Latn	rn	Rundi
rus_Cyrl	ru	Russian
sag_Latn	sg	Sango
san_Deva	sa	Sanskrit
sat_Olck	sat	Santali
scn_Latn		Sicilian
shn_Mymr	shn	Shan
sin_Sinh	si	Sinhala
slk_Latn	sk	Slovak
slv_Latn	sl	Slovenian
smo_Latn	sm	Samoan
sna_Latn	sn	Shona
snd_Arab	sd	Sindhi
som_Latn	so	Somali
sot_Latn	st	Southern
spa_Latn	es	Spanish
srd_Latn	sc	Sardinian
srp_Cyrl	sr	Serbian
ssw_Latn	ss	Swati
sun_Latn	su	Sundanese
swe_Latn	sv	Swedish
swh_Latn	sw	Swahili
szl_Latn	szl	Silesian
tam_Taml	ta	Tamil
taq_Latn		Tamasheq
taq_Tfng		Tamasheq
tat_Cyrl	tt	Tatar
tel_Telu	te	Telugu
tgk_Cyrl	tg	Tajik
tgl_Latn	tl	Tagalog
tha_Thai	th	Thai
tir_Ethi	ti	Tigrinya
tpi_Latn	tp	Tok
tsn_Latn	tn	Tswana
tso_Latn	ts	Tsonga
tuk_Latn	tk	Turkmen
tum_Latn	tum	Tumbuka
tur_Latn	tr	Turkish
twi_Latn	tw	Twi
tzm_Tfng	tzm	Central
uig_Arab	ug	Uyghur
ukr_Cyrl	uk	Ukrainian
umb_Latn	umb	Umbundu
urd_Arab	ur	Urdu
uzn_Latn	uz	Northern
vec_Latn	vec	Venetian
vie_Latn	vi	Vietnamese
war_Latn	war	Waray
